"Country.Name","Country.Code","Region.Name","Country.or.Area","M49.Code"
"Afghanistan","AFG","Asia","Afghanistan",4
"Albania","ALB","Europe","Albania",8
"Algeria","DZA","Africa","Algeria",12
"American Samoa","ASM","Oceania","American Samoa",16
"Andorra","AND","Europe","Andorra",20
"Angola","AGO","Africa","Angola",24
"Antigua and Barbuda","ATG","Americas","Antigua and Barbuda",28
"Argentina","ARG","Americas","Argentina",32
"Armenia","ARM","Asia","Armenia",51
"Aruba","ABW","Americas","Aruba",533
"Australia","AUS","Oceania","Australia",36
"Austria","AUT","Europe","Austria",40
"Azerbaijan","AZE","Asia","Azerbaijan",31
"Bahamas, The","BHS","Americas","Bahamas",44
"Bahrain","BHR","Asia","Bahrain",48
"Bangladesh","BGD","Asia","Bangladesh",50
"Barbados","BRB","Americas","Barbados",52
"Belarus","BLR","Europe","Belarus",112
"Belgium","BEL","Europe","Belgium",56
"Belize","BLZ","Americas","Belize",84
"Benin","BEN","Africa","Benin",204
"Bermuda","BMU","Americas","Bermuda",60
"Bhutan","BTN","Asia","Bhutan",64
"Bolivia","BOL","Americas","Bolivia (Plurinational State of)",68
"Bosnia and Herzegovina","BIH","Europe","Bosnia and Herzegovina",70
"Botswana","BWA","Africa","Botswana",72
"Brazil","BRA","Americas","Brazil",76
"British Virgin Islands","VGB","Americas","British Virgin Islands",92
"Brunei Darussalam","BRN","Asia","Brunei Darussalam",96
"Bulgaria","BGR","Europe","Bulgaria",100
"Burkina Faso","BFA","Africa","Burkina Faso",854
"Burundi","BDI","Africa","Burundi",108
"Cabo Verde","CPV","Africa","Cabo Verde",132
"Cambodia","KHM","Asia","Cambodia",116
"Cameroon","CMR","Africa","Cameroon",120
"Canada","CAN","Americas","Canada",124
"Cayman Islands","CYM","Americas","Cayman Islands",136
"Central African Republic","CAF","Africa","Central African Republic",140
"Chad","TCD","Africa","Chad",148
"Chile","CHL","Americas","Chile",152
"China","CHN","Asia","China",156
"Colombia","COL","Americas","Colombia",170
"Comoros","COM","Africa","Comoros",174
"Congo, Dem. Rep.","COD","Africa","Democratic Republic of the Congo",180
"Congo, Rep.","COG","Africa","Congo",178
